products-dapr-1  | time="2025-08-22T14:20:29.428043176Z" level=info msg="All outstanding components processed" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.428046926Z" level=info msg="Loading endpoints…" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.42879701Z" level=info msg="Waiting for all outstanding http endpoints to be processed…" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.42880726Z" level=info msg="All outstanding http endpoints processed" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.428898968Z" level=info msg="gRPC server listening on TCP address: :50001" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.grpc.api type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.428920551Z" level=info msg="Enabled gRPC tracing middleware" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.grpc.api type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.428923468Z" level=info msg="Enabled gRPC metrics middleware" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.grpc.api type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.42904101Z" level=info msg="Registering workflow engine for gRPC endpoint: [::]:50001" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.grpc.api type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429068301Z" level=info msg="API gRPC server is running on port 50001" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429245593Z" level=info msg="Enabled max body size HTTP middleware with size 4 MB" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.http type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429267093Z" level=info msg="Enabled tracing HTTP middleware" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.http type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429272676Z" level=info msg="Enabled metrics HTTP middleware" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.http type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429779885Z" level=info msg="HTTP server listening on TCP address: :3500" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.http type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429799676Z" level=info msg="HTTP server is running on port 3500" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.42980451Z" level=info msg="The request body size parameter is: 4" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429869343Z" level=info msg="gRPC server listening on TCP address: :48930" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.grpc.internal type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429881801Z" level=info msg="Enabled gRPC tracing middleware" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.grpc.internal type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429897135Z" level=info msg="Enabled gRPC metrics middleware" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.grpc.internal type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.429953135Z" level=info msg="Internal gRPC server is running on port 48930" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.430009926Z" level=info msg="application protocol: http. waiting on port 5001.  This will block until the app is listening on that port." app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.634450426Z" level=info msg="application discovered on port 5001" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.419108968Z" level=info msg="Starting Dapr Runtime -- version 1.12.0 -- commit 2149fca96cdf11627c387bda26dcc027d1c47354" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.419139551Z" level=info msg="Log level set to: info" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
